pendidikan,sektor,periode,gaji
Tidak/Belum Pernah Sekolah,"A Pertanian, Kehutanan dan Perikanan",Februari,636959.2
Tidak/Belum Pernah Sekolah,"A Pertanian, Kehutanan dan Perikanan",Agustus,1367181.95
Tidak/Belum Pernah Sekolah,B Pertambangan dan Penggalian,Agustus,2447391.95
Tidak/Belum Pernah Sekolah,C Industri Pengolahan,Februari,776788.07
Tidak/Belum Pernah Sekolah,C Industri Pengolahan,Agustus,1465896.75
Tidak/Belum Pernah Sekolah,F Konstruksi,Februari,3022857.68
Tidak/Belum Pernah Sekolah,F Konstruksi,Agustus,2322284.84
Tidak/Belum Pernah Sekolah,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Februari,493593.01
Tidak/Belum Pernah Sekolah,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Agustus,2171309.7
Tidak/Belum Pernah Sekolah,H Transportasi dan Pergudangan,Februari,1945701.36
Tidak/Belum Pernah Sekolah,H Transportasi dan Pergudangan,Agustus,1801242.24
Tidak/Belum Pernah Sekolah,I Penyediaan Akomodasi dan Makan Minum,Februari,938302.24
Tidak/Belum Pernah Sekolah,I Penyediaan Akomodasi dan Makan Minum,Agustus,1381238.97
Tidak/Belum Pernah Sekolah,"M,N Jasa Perusahaan",Februari,913574.36
Tidak/Belum Pernah Sekolah,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Februari,904152.45
Tidak/Belum Pernah Sekolah,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Agustus,2020646.83
Tidak/Belum Pernah Sekolah,P Jasa Pendidikan,Agustus,2255257.01
Tidak/Belum Pernah Sekolah,Q Jasa Kesehatan dan Kegiatan Sosial,Februari,1899106.05
Tidak/Belum Pernah Sekolah,"R,S,T,U Jasa Lainnya",Agustus,1070539.46
Tidak/Belum Pernah Sekolah,Total,Februari,1314303.61
Tidak/Belum Pernah Sekolah,Total,Agustus,1568337.92
Tidak/Belum Tamat SD,"A Pertanian, Kehutanan dan Perikanan",Februari,1707184.68
Tidak/Belum Tamat SD,"A Pertanian, Kehutanan dan Perikanan",Agustus,1864041.26
Tidak/Belum Tamat SD,B Pertambangan dan Penggalian,Februari,2344477.17
Tidak/Belum Tamat SD,B Pertambangan dan Penggalian,Agustus,2767313.44
Tidak/Belum Tamat SD,C Industri Pengolahan,Februari,1668246.27
Tidak/Belum Tamat SD,C Industri Pengolahan,Agustus,1659292.95
Tidak/Belum Tamat SD,D Pengadaan Listrik dan Gas,Februari,1694029.85
Tidak/Belum Tamat SD,D Pengadaan Listrik dan Gas,Agustus,3281119.67
Tidak/Belum Tamat SD,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Februari,1668280.75
Tidak/Belum Tamat SD,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Agustus,2098590.71
Tidak/Belum Tamat SD,F Konstruksi,Februari,2477481.11
Tidak/Belum Tamat SD,F Konstruksi,Agustus,2606716.2
Tidak/Belum Tamat SD,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Februari,1787051.1
Tidak/Belum Tamat SD,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Agustus,1876121.61
Tidak/Belum Tamat SD,H Transportasi dan Pergudangan,Februari,1850857.33
Tidak/Belum Tamat SD,H Transportasi dan Pergudangan,Agustus,2253391.06
Tidak/Belum Tamat SD,I Penyediaan Akomodasi dan Makan Minum,Februari,1354058.68
Tidak/Belum Tamat SD,I Penyediaan Akomodasi dan Makan Minum,Agustus,1637090.75
Tidak/Belum Tamat SD,J Informasi dan Komunikasi,Februari,1945615.41
Tidak/Belum Tamat SD,J Informasi dan Komunikasi,Agustus,1128495.76
Tidak/Belum Tamat SD,L Real Estate,Februari,1700290.33
