pendidikan,sektor,periode,gaji,pendidikan_encoded,"sektor_A Pertanian, Kehutanan dan Perikanan",sektor_B Pertambangan dan Penggalian,sektor_C Industri Pengolahan,sektor_D Pengadaan Listrik dan Gas,"sektor_E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",sektor_F Konstruksi,"sektor_G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",sektor_H Transportasi dan Pergudangan,sektor_I Penyediaan Akomodasi dan Makan Minum,sektor_J Informasi dan Komunikasi,sektor_K Jasa Keuangan dan Asuransi,sektor_L Real Estate,"sektor_M,N Jasa Perusahaan","sektor_O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",sektor_P Jasa Pendidikan,sektor_Q Jasa Kesehatan dan Kegiatan Sosial,"sektor_R,S,T,U Jasa Lainnya",sektor_Total,periode_encoded
Tidak/Belum Pernah Sekolah,"A Pertanian, Kehutanan dan Perikanan",Februari,636959.2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Tidak/Belum Pernah Sekolah,"A Pertanian, Kehutanan dan Perikanan",Agustus,1367181.95,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Tidak/Belum Pernah Sekolah,B Pertambangan dan Penggalian,Agustus,2447391.95,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Tidak/Belum Pernah Sekolah,C Industri Pengolahan,Februari,776788.07,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Tidak/Belum Pernah Sekolah,C Industri Pengolahan,Agustus,1465896.75,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Tidak/Belum Pernah Sekolah,F Konstruksi,Februari,3022857.68,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
Tidak/Belum Pernah Sekolah,F Konstruksi,Agustus,2322284.84,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
Tidak/Belum Pernah Sekolah,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Februari,493593.01,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0
Tidak/Belum Pernah Sekolah,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Agustus,2171309.7,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
Tidak/Belum Pernah Sekolah,H Transportasi dan Pergudangan,Februari,1945701.36,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
Tidak/Belum Pernah Sekolah,H Transportasi dan Pergudangan,Agustus,1801242.24,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
Tidak/Belum Pernah Sekolah,I Penyediaan Akomodasi dan Makan Minum,Februari,938302.24,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0
Tidak/Belum Pernah Sekolah,I Penyediaan Akomodasi dan Makan Minum,Agustus,1381238.97,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
Tidak/Belum Pernah Sekolah,"M,N Jasa Perusahaan",Februari,913574.36,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
Tidak/Belum Pernah Sekolah,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Februari,904152.45,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
Tidak/Belum Pernah Sekolah,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Agustus,2020646.83,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
Tidak/Belum Pernah Sekolah,P Jasa Pendidikan,Agustus,2255257.01,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
Tidak/Belum Pernah Sekolah,Q Jasa Kesehatan dan Kegiatan Sosial,Februari,1899106.05,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
Tidak/Belum Pernah Sekolah,"R,S,T,U Jasa Lainnya",Agustus,1070539.46,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
Tidak/Belum Pernah Sekolah,Total,Februari,1314303.61,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
Tidak/Belum Pernah Sekolah,Total,Agustus,1568337.92,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
Tidak/Belum Tamat SD,"A Pertanian, Kehutanan dan Perikanan",Februari,1707184.68,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Tidak/Belum Tamat SD,"A Pertanian, Kehutanan dan Perikanan",Agustus,1864041.26,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Tidak/Belum Tamat SD,B Pertambangan dan Penggalian,Februari,2344477.17,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Tidak/Belum Tamat SD,B Pertambangan dan Penggalian,Agustus,2767313.44,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Tidak/Belum Tamat SD,C Industri Pengolahan,Februari,1668246.27,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
