pendidikan,sektor,gaji_rata,jumlah_data,pendidikan_encoded,"sektor_A Pertanian, Kehutanan dan Perikanan",sektor_B Pertambangan dan Penggalian,sektor_C Industri Pengolahan,sektor_D Pengadaan Listrik dan Gas,"sektor_E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",sektor_F Konstruksi,"sektor_G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",sektor_H Transportasi dan Pergudangan,sektor_I Penyediaan Akomodasi dan Makan Minum,sektor_J Informasi dan Komunikasi,sektor_K Jasa Keuangan dan Asuransi,sektor_L Real Estate,"sektor_M,N Jasa Perusahaan","sektor_O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",sektor_P Jasa Pendidikan,sektor_Q Jasa Kesehatan dan Kegiatan Sosial,"sektor_R,S,T,U Jasa Lainnya",sektor_Total
Diploma I/II/III/Akademi,"A Pertanian, Kehutanan dan Perikanan",3608079.1950000003,2,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Diploma I/II/III/Akademi,B Pertambangan dan Penggalian,8575163.059999999,2,6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Diploma I/II/III/Akademi,C Industri Pengolahan,5550847.055,2,6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Diploma I/II/III/Akademi,D Pengadaan Listrik dan Gas,6436468.6,2,6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Diploma I/II/III/Akademi,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",4017014.825,2,6,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Diploma I/II/III/Akademi,F Konstruksi,6232321.235,2,6,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Diploma I/II/III/Akademi,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",4287311.59,2,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Diploma I/II/III/Akademi,H Transportasi dan Pergudangan,7491929.54,2,6,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Diploma I/II/III/Akademi,I Penyediaan Akomodasi dan Makan Minum,4792302.255,2,6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Diploma I/II/III/Akademi,J Informasi dan Komunikasi,5647971.085,2,6,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Diploma I/II/III/Akademi,K Jasa Keuangan dan Asuransi,5288125.425,2,6,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Diploma I/II/III/Akademi,L Real Estate,5552304.945,2,6,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Diploma I/II/III/Akademi,"M,N Jasa Perusahaan",4833058.055,2,6,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Diploma I/II/III/Akademi,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",3515513.5300000003,2,6,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Diploma I/II/III/Akademi,P Jasa Pendidikan,2246722.72,2,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Diploma I/II/III/Akademi,Q Jasa Kesehatan dan Kegiatan Sosial,3081000.89,2,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Diploma I/II/III/Akademi,"R,S,T,U Jasa Lainnya",3071450.1100000003,2,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Diploma I/II/III/Akademi,Total,4061643.98,2,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Sekolah Dasar,"A Pertanian, Kehutanan dan Perikanan",2076289.335,2,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
